Breastfeeding children age group 6 to 23 months receiving an adequate diet (%),Deaths in the last 3 years registered with the civil authority (%),Population and household profile-households with any usual member covered under a health insurance or financing scheme (%),Married women age group 15 to 49 years using injectables as one of the family planning methods (%),Institutional births in public facility (%),Men age group 15 years and above who use any kind of tobacco (%),Elevated blood pressure or taking medicine to control blood pressure (%),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Mothers who had an antenatal check-up in the first trimester (%),Population living in households with electricity (%),Pregnant women age group 15 to 49 years who are anaemic (%),"Population and household profile-sex ratio of the total population (females per 1,000 males)",Women age 15 years and above who use any kind of tobacco (%),Women age group 15 to 24 years who use hygienic methods of protection during their menstrual period (%),Women registered for Ante Natal Care(ANC),Women discharged under 48 hours of delivery in public facilities,Women received first post partum check up within 48 hours of delivery,Women received post partum check up within 48 hours of delivery (to total reported deliveries) (%),Reported live births (to reported births) (%),Newborns having weight less than 25 kg (to newborns weighed at birth) (%),Complicated pregnancies treated with blood transfusion (to total women with obstetric complications) (%),Pregnant women given 360 calcium tablets to total Ante Natal Care (ANC) registrations (%),Pregnant women given one Albendazole tablet after first trimester (%),Facility based maternal death reviews done,Medical Termination of Pregnancies conducted at public institutions (to total abortions) (%),Emergency pills distributed,Newborns given Hep-B0 (Birth Dose) at birth (to total reports live births) (%),Immunization dropout between Bacillus Calmette Guerin (BCG) and measles vaccine (%),Children in In-patient Department (IPD) (to total patients in IPD) (%),Number of In-patient Department (IPD) deaths (to total patients in IPD) (%),Number of patients in In-patient Department (IPD) (to number of patients in Out-patients Department (OPD)) (%),"Patients given Ayurveda, Yoga and Naturopathy, Unani, Siddha, and Homoeopathy (AYUSH) treatment in Out-Patient Department (OPD) (to total number of patients in OPD) (%)",Deaths due to Sepsis (to total reported infant deaths) (%),IMR,srcStateName,srcDistrictName,IMR_capped
-0.23636692964595324,0.2579233111157273,0.9392310093432501,-0.594460738947677,1.4725533484485545,1.0950696934250692,-0.6248983190951787,1.4180206750358402,1.4979775554811776,0.6421636970911848,0.18075030633475644,-0.725897964984809,0.5448878734008984,-1.4590882551957791,0.11665772829423482,-0.541267424464005,-0.4593187320463848,-0.4345356198795469,-0.7567787673598823,1.242139956047681,0.004601223430874977,1.2378802093381984,1.1228787344448166,3.0403897536868634,0.7714562130852206,-0.22737556344016566,0.5485965780067783,-1.1819633830701588,-0.9784581364903485,0.40823268851664285,2.0226856885335747,-0.18317899887449257,-0.342276560160896,34.014907149235505,madhya pradesh,jabalpur,34.014907149235505
-0.6577567065268113,0.5029026686867692,-0.5479122091603991,-0.5034917060645219,0.12965631059223584,-1.390815199047811,0.35003332293663547,-0.07410382624190842,1.6542028113713703,0.689074802510569,0.18075030633475644,-1.4741609327297556,-0.8482052075441896,1.1423086924470849,-0.5191296080858308,0.006610259063981531,-0.33638871907462253,0.8751620341978632,0.020221394589048963,-0.3835512760336223,-0.09063231498399314,0.47432916528152264,1.4389389398007146,-0.30809166631168305,-0.9829841895243452,-0.3836046823659561,0.5278686778022486,0.6102755973206998,1.0063619394305579,-0.3034470450378526,-0.9772435822940321,0.47101128081264726,-0.49319707935408463,14.291595600776333,haryana,sirsa,14.291595600776333
1.2045142429143998,0.01756620557432608,-0.6811533645754659,0.04232249123440896,-1.1457892778740388,-0.7355102990263069,-0.17381054442374252,-0.6313478529536604,0.7094119781306849,0.4545192754136517,0.5568703606067402,-1.019858416598895,-0.36754736090231704,0.8828343165952396,-0.2936094605389281,0.16131298343864003,0.16907581645273873,-0.45117547136251507,0.17562142697882638,0.27963684391290233,-0.07266686144896123,1.6387445074679536,-3.4352876544294836e-05,-0.32290795578070314,1.126286856309627,0.033096555115485024,-0.9265389865489024,0.7496551291854163,1.4958311436734968,-0.6830095696002503,-0.45670790973033787,0.5512421641705038,-0.4153026178350195,19.549054143081868,haryana,palwal,19.549054143081868
-0.9568075159261299,1.1037954325402703,-1.1625407647847397,-0.4125226731813667,-1.6363452734379906,-0.6927730229379478,1.1066966869016255,0.570641328631193,-0.42136130259832427,0.29033040644580904,-0.20059363757989418,0.10253603501852485,-0.009090661711768075,0.6167067516189876,0.21293298159388574,-0.5566122694727041,-0.5563815457186799,-0.4627719701759351,1.00442159972435,-0.0431538339371764,-0.11167518417085921,0.8280329577489535,-0.11695093290657149,0.06231557041381988,1.3391852422442707,-0.5462643759442378,-1.4170992913894334,-0.3062963241809648,-0.32732937855249444,1.4520296310632366,0.20081083456064422,-0.34981237200234894,0.013116920519838147,15.31914271298727,maharashtra,sangli,15.31914271298727
-0.16840083660065355,-1.5031547121779956,-1.2742914112618926,-0.04864654164874616,-0.9863585793157543,0.7602943640662571,-0.8140641600864262,-1.239250427548299,-0.6296616437852468,0.21996374831673457,0.9538859734493903,0.8107134866342779,-0.6363898852952288,-0.3546588605443332,2.392449711100628,1.862882831438053,1.7034305034261454,-0.4824635318729612,0.1238214161822339,-0.4774540186809178,-0.19068991036660135,-0.14324888505843608,-0.48825743432061414,-0.32290795578070314,-0.5046199149551452,1.9668041982493913,-0.4100688064527097,-0.4850657237465789,2.5376371563740623,-0.8253455163111494,-0.04575869454847397,1.1375447733240722,-0.7220120600663381,4.28069924057888,bihar,gaya,4.28069924057888
2.835700476001592,-0.7127496151091598,0.3331986572940751,-0.4125226731813667,-1.0292822289276002,0.7602943640662571,0.08811138925644646,-0.26292205016903103,-1.1132160072548887,-0.08495843690926043,-0.12745918258256367,0.39649648663261106,1.4899100803578003,-0.49437583215686515,0.4343740449998803,-0.33279102584147063,0.010547996294562545,-0.47912271227020303,-1.8963790048850049,-0.21922147640085515,-0.21788761085713576,-1.2155889542850915,-1.3619197905889497,-0.13029619268344161,-1.5060308413884704,-0.6474613138966022,-0.29779268034484224,0.754200113920135,0.44055350149835437,1.214803053211738,0.8446312716788975,-0.6275346605487762,0.10074818972878624,34.93042793384091,meghalaya,east khasi hills,34.93042793384091
0.6335990613338827,0.04529971775218037,1.880515300823883,-0.4125226731813667,0.1235243606476868,0.7175570879778981,-0.47938613371729594,-0.24450076002979962,-0.8602798786707684,-1.609569363039222,0.5777659191774063,0.7706279705050844,1.726165632097026,-1.499007389942217,-1.0229674400817381,-0.6887380566693462,-0.47857722682263387,-0.5006131768302527,-1.8963790048850049,-0.10771196950719183,-0.1702292549517039,1.114364599270207,1.356711894504871,-0.30809166631168305,0.6058685795804974,-0.6575471625620886,-0.4964350573049157,0.0876023528280153,2.01673415002378,1.1199124220711385,0.24190575607883083,-0.7077655439066328,-0.6051703677877405,13.481828839390387,chhattisgarh,narayanpur,13.481828839390387
-0.3858923343456125,0.7109040100206735,-0.0837172161014567,-0.594460738947677,-0.9556988295930073,-0.4363493664077939,0.07356017071865799,-0.3412125332607649,-0.6147830479861811,0.29033040644580904,1.622543847710695,-0.7927071585334649,-0.025384148038611297,-0.9667522599897127,-0.20555444854062896,-0.3729811764207765,-0.5508675345827434,-0.44173123133164127,0.38282147016521834,1.2127953489704015,-0.12207185867029896,1.0436238407767207,1.4427933325489575,-0.32290795578070314,-0.977727439254354,-0.42130815690740553,0.49850415251249863,0.13153720526363238,-0.5024605617219863,-0.39833767617845195,-0.18274176627576216,0.298206301272648,-0.5078022908889092,14.256162957692663,gujarat,bharuch,14.256162957692663
-0.4130787715637325,0.5445029369535505,1.3647430863139471,-0.594460738947677,-0.9556988295930073,-1.1272686631695974,1.0048381571371077,1.3489408370137221,1.3194344058923875,0.5248859335427263,0.3008997681160845,0.4766675188909982,-0.8074714917270818,0.656625886365425,0.8960820318795825,-0.1558582912194272,-0.5076474178848877,-0.013624473197436851,1.108021621317535,-1.6218936946948317,4.02570222623019,0.8381387803908795,-0.3751952470388294,-0.23401021896658242,0.36142969202590636,-0.5748973557126995,0.8526057810065435,1.17082371460271,-0.47102675961464147,2.3534906268989313,-0.3471214523485075,-0.9608014068044888,0.8942980164542613,14.191147023487009,andhra pradesh,guntur,14.191147023487009
-0.6441634879177514,0.4335688882421346,0.5137189323725526,-0.594460738947677,0.9574695531064046,0.318675844486548,-0.4066300410283546,1.4963111581275739,0.38952216845076815,0.26687485373611536,1.0270204284467201,-0.3517664811123356,0.03164305410533976,-1.0399373403581822,-0.2947445100390069,-0.642009667781986,-0.3792033937771888,-0.49672626171550543,-0.5495787241735124,-0.3365999047099744,-0.11109297039889059,1.0582211401483925,1.225662541064621,-0.011765876931280679,0.16430155690123607,-0.4863584962868182,0.6919645544214404,-1.3683077571936375,0.11274385095033085,-0.3508923606081524,0.5843634353970506,-0.05357526421949316,-0.4347762332147858,28.286681351743407,madhya pradesh,betul,28.286681351743407
